index,cell,cell_ontology_class,mouse.id
A11_B000795_B008545_S11.mm10-plus-3-0,A11_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A12_B000795_B008545_S12.mm10-plus-3-0,A12_B000795,macrophage,18_47_F
A13_B000795_B008545_S13.mm10-plus-3-0,A13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A14_B000795_B008545_S14.mm10-plus-3-0,A14_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A15_B000795_B008545_S15.mm10-plus-3-0,A15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
A16_B000795_B008545_S16.mm10-plus-3-0,A16_B000795,"CD4-positive, alpha-beta T cell",18_47_F
A1_B000795_B008545_S1.mm10-plus-3-0,A1_B000795,mesenchymal stem cell of adipose,18_47_F
A20_B000795_B008545_S20.mm10-plus-3-0,A20_B000795,mesenchymal stem cell of adipose,18_47_F
A3_B000795_B008545_S3.mm10-plus-3-0,A3_B000795,mesenchymal stem cell of adipose,18_47_F
A4_B000795_B008545_S4.mm10-plus-3-0,A4_B000795,mesenchymal stem cell of adipose,18_47_F
A5_B000795_B008545_S5.mm10-plus-3-0,A5_B000795,mesenchymal stem cell of adipose,18_47_F
A6_B000795_B008545_S6.mm10-plus-3-0,A6_B000795,B cell,18_47_F
A7_B000795_B008545_S7.mm10-plus-3-0,A7_B000795,mesenchymal stem cell of adipose,18_47_F
A8_B000795_B008545_S8.mm10-plus-3-0,A8_B000795,mesenchymal stem cell of adipose,18_47_F
A9_B000795_B008545_S9.mm10-plus-3-0,A9_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B10_B000795_B008545_S34.mm10-plus-3-0,B10_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B11_B000795_B008545_S35.mm10-plus-3-0,B11_B000795,B cell,18_47_F
B12_B000795_B008545_S36.mm10-plus-3-0,B12_B000795,B cell,18_47_F
B13_B000795_B008545_S37.mm10-plus-3-0,B13_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B15_B000795_B008545_S39.mm10-plus-3-0,B15_B000795,"CD8-positive, alpha-beta T cell",18_47_F
B16_B000795_B008545_S40.mm10-plus-3-0,B16_B000795,"CD8-positive, alpha-beta T cell",18_47_F
