cell,cell_ontology_class,mouse.id,sex,age
A10_B002327,naive B cell,24_59_M,male,24m
A11_B002327,naive B cell,24_59_M,male,24m
A13_B002327,naive B cell,24_59_M,male,24m
A15_B002327,naive B cell,24_59_M,male,24m
A17_B002327,naive B cell,24_59_M,male,24m
A19_B002327,naive B cell,24_59_M,male,24m
A1_B002327,naive B cell,24_59_M,male,24m
A20_B002327,naive B cell,24_59_M,male,24m
A4_B002327,naive B cell,24_59_M,male,24m
A5_B002327,naive B cell,24_59_M,male,24m
A6_B002327,naive B cell,24_59_M,male,24m
A7_B002327,naive B cell,24_59_M,male,24m
A8_B002327,naive B cell,24_59_M,male,24m
A9_B002327,naive B cell,24_59_M,male,24m
B13_B002327,naive B cell,24_59_M,male,24m
B17_B002327,naive B cell,24_59_M,male,24m
B19_B002327,naive B cell,24_59_M,male,24m
B1_B002327,naive B cell,24_59_M,male,24m
B21_B002327,naive B cell,24_59_M,male,24m
B22_B002327,naive B cell,24_59_M,male,24m
B2_B002327,naive B cell,24_59_M,male,24m
B3_B002327,naive B cell,24_59_M,male,24m
B4_B002327,naive B cell,24_59_M,male,24m
B9_B002327,naive B cell,24_59_M,male,24m
C10_B002327,naive B cell,24_59_M,male,24m
C14_B002327,naive B cell,24_59_M,male,24m
C15_B002327,naive B cell,24_59_M,male,24m
C16_B002327,naive B cell,24_59_M,male,24m
C17_B002327,naive B cell,24_59_M,male,24m
C19_B002327,naive B cell,24_59_M,male,24m
C1_B002327,naive B cell,24_59_M,male,24m
C20_B002327,naive B cell,24_59_M,male,24m
C21_B002327,naive B cell,24_59_M,male,24m
C22_B002327,naive B cell,24_59_M,male,24m
C3_B002327,naive B cell,24_59_M,male,24m
C4_B002327,naive B cell,24_59_M,male,24m
C7_B002327,naive B cell,24_59_M,male,24m
C8_B002327,naive B cell,24_59_M,male,24m
D15_B002327,naive B cell,24_59_M,male,24m
D16_B002327,naive B cell,24_59_M,male,24m
D19_B002327,naive B cell,24_59_M,male,24m
D1_B002327,naive B cell,24_59_M,male,24m
D20_B002327,naive B cell,24_59_M,male,24m
D2_B002327,naive B cell,24_59_M,male,24m
D3_B002327,naive B cell,24_59_M,male,24m
D4_B002327,naive B cell,24_59_M,male,24m
D5_B002327,naive B cell,24_59_M,male,24m
D7_B002327,naive B cell,24_59_M,male,24m
D9_B002327,naive B cell,24_59_M,male,24m
E10_B002327,naive B cell,24_59_M,male,24m
E11_B002327,naive B cell,24_59_M,male,24m
E14_B002327,naive B cell,24_59_M,male,24m
E17_B002327,naive B cell,24_59_M,male,24m
E18_B002327,naive B cell,24_59_M,male,24m
E19_B002327,naive B cell,24_59_M,male,24m
E1_B002327,naive B cell,24_59_M,male,24m
E21_B002327,naive B cell,24_59_M,male,24m
E22_B002327,naive B cell,24_59_M,male,24m
E2_B002327,naive B cell,24_59_M,male,24m
E6_B002327,naive B cell,24_59_M,male,24m
F13_B002327,naive B cell,24_59_M,male,24m
F18_B002327,naive B cell,24_59_M,male,24m
F19_B002327,naive B cell,24_59_M,male,24m
F1_B002327,naive B cell,24_59_M,male,24m
F20_B002327,naive B cell,24_59_M,male,24m
F21_B002327,naive B cell,24_59_M,male,24m
F22_B002327,naive B cell,24_59_M,male,24m
F2_B002327,naive B cell,24_59_M,male,24m
F4_B002327,naive B cell,24_59_M,male,24m
F6_B002327,naive B cell,24_59_M,male,24m
F7_B002327,naive B cell,24_59_M,male,24m
F8_B002327,naive B cell,24_59_M,male,24m
F9_B002327,naive B cell,24_59_M,male,24m
G10_B002327,naive B cell,24_59_M,male,24m
G11_B002327,naive B cell,24_59_M,male,24m
G15_B002327,naive B cell,24_59_M,male,24m
G16_B002327,naive B cell,24_59_M,male,24m
G17_B002327,naive B cell,24_59_M,male,24m
G19_B002327,naive B cell,24_59_M,male,24m
G20_B002327,naive B cell,24_59_M,male,24m
G4_B002327,naive B cell,24_59_M,male,24m
G5_B002327,naive B cell,24_59_M,male,24m
G8_B002327,naive B cell,24_59_M,male,24m
G9_B002327,naive B cell,24_59_M,male,24m
H20_B002327,naive B cell,24_59_M,male,24m
H21_B002327,naive B cell,24_59_M,male,24m
H22_B002327,naive B cell,24_59_M,male,24m
H2_B002327,naive B cell,24_59_M,male,24m
H5_B002327,naive B cell,24_59_M,male,24m
H6_B002327,naive B cell,24_59_M,male,24m
H9_B002327,naive B cell,24_59_M,male,24m
I10_B002327,naive B cell,24_59_M,male,24m
I15_B002327,naive B cell,24_59_M,male,24m
I18_B002327,naive B cell,24_59_M,male,24m
I19_B002327,naive B cell,24_59_M,male,24m
I1_B002327,naive B cell,24_59_M,male,24m
I22_B002327,naive B cell,24_59_M,male,24m
I2_B002327,naive B cell,24_59_M,male,24m
I3_B002327,naive B cell,24_59_M,male,24m
I5_B002327,naive B cell,24_59_M,male,24m
I6_B002327,naive B cell,24_59_M,male,24m
I8_B002327,naive B cell,24_59_M,male,24m
J12_B002327,naive B cell,24_59_M,male,24m
J13_B002327,naive B cell,24_59_M,male,24m
J16_B002327,naive B cell,24_59_M,male,24m
J17_B002327,naive B cell,24_59_M,male,24m
J18_B002327,naive B cell,24_59_M,male,24m
J19_B002327,naive B cell,24_59_M,male,24m
J20_B002327,naive B cell,24_59_M,male,24m
J22_B002327,naive B cell,24_59_M,male,24m
J3_B002327,naive B cell,24_59_M,male,24m
J6_B002327,naive B cell,24_59_M,male,24m
J7_B002327,naive B cell,24_59_M,male,24m
J8_B002327,naive B cell,24_59_M,male,24m
K11_B002327,naive B cell,24_59_M,male,24m
K13_B002327,naive B cell,24_59_M,male,24m
K15_B002327,naive B cell,24_59_M,male,24m
K17_B002327,naive B cell,24_59_M,male,24m
K18_B002327,naive B cell,24_59_M,male,24m
K1_B002327,naive B cell,24_59_M,male,24m
K2_B002327,naive B cell,24_59_M,male,24m
K5_B002327,naive B cell,24_59_M,male,24m
K6_B002327,naive B cell,24_59_M,male,24m
K7_B002327,naive B cell,24_59_M,male,24m
K9_B002327,naive B cell,24_59_M,male,24m
L12_B002327,naive B cell,24_59_M,male,24m
L14_B002327,naive B cell,24_59_M,male,24m
L18_B002327,naive B cell,24_59_M,male,24m
L19_B002327,naive B cell,24_59_M,male,24m
L21_B002327,naive B cell,24_59_M,male,24m
L22_B002327,naive B cell,24_59_M,male,24m
L2_B002327,naive B cell,24_59_M,male,24m
L6_B002327,naive B cell,24_59_M,male,24m
L8_B002327,naive B cell,24_59_M,male,24m
L9_B002327,naive B cell,24_59_M,male,24m
M10_B002327,naive B cell,24_59_M,male,24m
M11_B002327,naive B cell,24_59_M,male,24m
M12_B002327,naive B cell,24_59_M,male,24m
M13_B002327,naive B cell,24_59_M,male,24m
M15_B002327,naive B cell,24_59_M,male,24m
M17_B002327,naive B cell,24_59_M,male,24m
M21_B002327,naive B cell,24_59_M,male,24m
M5_B002327,naive B cell,24_59_M,male,24m
M6_B002327,naive B cell,24_59_M,male,24m
M9_B002327,naive B cell,24_59_M,male,24m
N10_B002327,naive B cell,24_59_M,male,24m
N11_B002327,naive B cell,24_59_M,male,24m
N12_B002327,naive B cell,24_59_M,male,24m
N14_B002327,naive B cell,24_59_M,male,24m
N15_B002327,naive B cell,24_59_M,male,24m
N16_B002327,naive B cell,24_59_M,male,24m
N17_B002327,naive B cell,24_59_M,male,24m
N19_B002327,naive B cell,24_59_M,male,24m
N1_B002327,naive B cell,24_59_M,male,24m
N3_B002327,naive B cell,24_59_M,male,24m
N5_B002327,naive B cell,24_59_M,male,24m
N6_B002327,naive B cell,24_59_M,male,24m
N7_B002327,naive B cell,24_59_M,male,24m
N9_B002327,naive B cell,24_59_M,male,24m
O11_B002327,naive B cell,24_59_M,male,24m
O13_B002327,naive B cell,24_59_M,male,24m
O14_B002327,naive B cell,24_59_M,male,24m
O17_B002327,naive B cell,24_59_M,male,24m
O18_B002327,naive B cell,24_59_M,male,24m
O20_B002327,naive B cell,24_59_M,male,24m
O21_B002327,naive B cell,24_59_M,male,24m
O3_B002327,naive B cell,24_59_M,male,24m
O4_B002327,naive B cell,24_59_M,male,24m
O8_B002327,naive B cell,24_59_M,male,24m
P10_B002327,naive B cell,24_59_M,male,24m
P11_B002327,naive B cell,24_59_M,male,24m
P12_B002327,naive B cell,24_59_M,male,24m
P13_B002327,naive B cell,24_59_M,male,24m
P15_B002327,naive B cell,24_59_M,male,24m
P18_B002327,naive B cell,24_59_M,male,24m
P1_B002327,naive B cell,24_59_M,male,24m
P20_B002327,naive B cell,24_59_M,male,24m
P21_B002327,naive B cell,24_59_M,male,24m
P3_B002327,naive B cell,24_59_M,male,24m
P7_B002327,naive B cell,24_59_M,male,24m
P9_B002327,naive B cell,24_59_M,male,24m
A1_B002894,naive B cell,24_58_M,male,24m
A2_B002894,naive B cell,24_58_M,male,24m
B2_B002894,naive B cell,24_58_M,male,24m
C1_B002894,naive B cell,24_58_M,male,24m
C2_B002894,naive B cell,24_58_M,male,24m
C6_B001151,naive B cell,24_59_M,male,24m
D11_B002894,naive B cell,24_58_M,male,24m
D13_B002894,naive B cell,24_58_M,male,24m
D14_B002894,naive B cell,24_58_M,male,24m
D1_B002894,naive B cell,24_58_M,male,24m
D3_B002894,naive B cell,24_58_M,male,24m
D8_B002894,naive B cell,24_58_M,male,24m
E13_B002894,naive B cell,24_58_M,male,24m
E15_B002894,naive B cell,24_58_M,male,24m
E3_B002894,naive B cell,24_58_M,male,24m
E4_B002894,naive B cell,24_58_M,male,24m
E6_B002894,naive B cell,24_58_M,male,24m
F12_B002894,naive B cell,24_58_M,male,24m
F14_B002894,naive B cell,24_58_M,male,24m
F19_B002894,naive B cell,24_58_M,male,24m
F3_B002894,naive B cell,24_58_M,male,24m
F6_B001151,naive B cell,24_59_M,male,24m
F6_B002894,naive B cell,24_58_M,male,24m
F7_B002894,naive B cell,24_58_M,male,24m
G13_B002894,naive B cell,24_58_M,male,24m
G17_B002894,naive B cell,24_58_M,male,24m
G19_B002894,naive B cell,24_58_M,male,24m
G3_B001151,naive B cell,24_59_M,male,24m
G4_B002894,naive B cell,24_58_M,male,24m
G6_B002894,naive B cell,24_58_M,male,24m
G7_B002894,naive B cell,24_58_M,male,24m
G8_B001151,naive B cell,24_59_M,male,24m
G8_B002894,naive B cell,24_58_M,male,24m
H11_B002894,naive B cell,24_58_M,male,24m
H13_B002894,naive B cell,24_58_M,male,24m
H15_B002894,naive B cell,24_58_M,male,24m
H19_B002894,naive B cell,24_58_M,male,24m
H2_B002894,naive B cell,24_58_M,male,24m
H3_B002894,naive B cell,24_58_M,male,24m
H6_B002894,naive B cell,24_58_M,male,24m
H9_B002894,naive B cell,24_58_M,male,24m
I13_B002894,naive B cell,24_58_M,male,24m
I16_B002894,naive B cell,24_58_M,male,24m
I18_B002894,naive B cell,24_58_M,male,24m
I19_B002894,naive B cell,24_58_M,male,24m
I2_B001151,naive B cell,24_59_M,male,24m
I6_B002894,naive B cell,24_58_M,male,24m
J11_B002894,naive B cell,24_58_M,male,24m
J12_B002894,naive B cell,24_58_M,male,24m
J14_B002894,naive B cell,24_58_M,male,24m
J15_B002894,naive B cell,24_58_M,male,24m
J16_B002894,naive B cell,24_58_M,male,24m
J20_B002894,naive B cell,24_58_M,male,24m
J2_B002894,naive B cell,24_58_M,male,24m
J5_B001151,naive B cell,24_59_M,male,24m
J6_B002894,naive B cell,24_58_M,male,24m
J8_B002894,naive B cell,24_58_M,male,24m
K13_B002894,naive B cell,24_58_M,male,24m
K18_B002894,naive B cell,24_58_M,male,24m
K2_B002894,naive B cell,24_58_M,male,24m
K3_B002894,naive B cell,24_58_M,male,24m
K5_B002894,naive B cell,24_58_M,male,24m
K6_B002894,naive B cell,24_58_M,male,24m
K9_B002894,naive B cell,24_58_M,male,24m
L13_B002894,naive B cell,24_58_M,male,24m
L15_B002894,naive B cell,24_58_M,male,24m
L16_B002894,naive B cell,24_58_M,male,24m
L2_B002894,naive B cell,24_58_M,male,24m
L4_B002894,naive B cell,24_58_M,male,24m
L7_B002894,naive B cell,24_58_M,male,24m
L8_B002894,naive B cell,24_58_M,male,24m
M11_B002894,naive B cell,24_58_M,male,24m
M17_B002894,naive B cell,24_58_M,male,24m
M20_B002894,naive B cell,24_58_M,male,24m
M4_B002894,naive B cell,24_58_M,male,24m
N11_B001151,naive B cell,24_59_M,male,24m
N12_B002894,naive B cell,24_58_M,male,24m
N2_B001151,naive B cell,24_59_M,male,24m
O5_B001151,naive B cell,24_59_M,male,24m
A10_B003031,naive B cell,24_60_M,male,24m
A12_B000320,naive B cell,24_60_M,male,24m
A14_B000320,naive B cell,24_60_M,male,24m
A15_B000320,naive B cell,24_60_M,male,24m
A15_B003031,naive B cell,24_60_M,male,24m
A16_B000320,naive B cell,24_60_M,male,24m
A17_B000320,naive B cell,24_60_M,male,24m
A18_B000320,naive B cell,24_60_M,male,24m
A18_B002949,naive B cell,24_59_M,male,24m
A19_B000320,naive B cell,24_60_M,male,24m
A20_B000320,naive B cell,24_60_M,male,24m
A20_B002949,naive B cell,24_59_M,male,24m
A21_B003031,naive B cell,24_60_M,male,24m
A22_B000320,naive B cell,24_60_M,male,24m
A22_B003031,naive B cell,24_60_M,male,24m
A2_B000320,naive B cell,24_60_M,male,24m
A2_B002949,naive B cell,24_59_M,male,24m
A2_B003031,naive B cell,24_60_M,male,24m
A3_B000320,naive B cell,24_60_M,male,24m
A3_B002949,naive B cell,24_59_M,male,24m
A4_B000320,naive B cell,24_60_M,male,24m
A5_B003031,naive B cell,24_60_M,male,24m
A6_B000320,naive B cell,24_60_M,male,24m
A7_B000320,naive B cell,24_60_M,male,24m
A8_B000320,naive B cell,24_60_M,male,24m
A8_B003031,naive B cell,24_60_M,male,24m
A9_B003031,naive B cell,24_60_M,male,24m
B10_B000320,naive B cell,24_60_M,male,24m
B10_B003031,naive B cell,24_60_M,male,24m
B11_B000320,naive B cell,24_60_M,male,24m
B11_B002949,naive B cell,24_59_M,male,24m
B12_B000320,naive B cell,24_60_M,male,24m
B12_B002949,naive B cell,24_59_M,male,24m
B13_B000320,naive B cell,24_60_M,male,24m
B13_B002949,naive B cell,24_59_M,male,24m
B16_B000320,naive B cell,24_60_M,male,24m
B17_B000320,naive B cell,24_60_M,male,24m
B18_B000320,naive B cell,24_60_M,male,24m
B19_B000320,naive B cell,24_60_M,male,24m
B1_B000320,naive B cell,24_60_M,male,24m
B1_B003031,naive B cell,24_60_M,male,24m
B20_B000320,naive B cell,24_60_M,male,24m
B22_B000320,naive B cell,24_60_M,male,24m
B2_B000320,naive B cell,24_60_M,male,24m
B2_B002949,naive B cell,24_59_M,male,24m
B3_B000320,naive B cell,24_60_M,male,24m
B4_B000320,naive B cell,24_60_M,male,24m
B4_B000328,naive B cell,24_60_M,male,24m
B4_B003031,naive B cell,24_60_M,male,24m
B5_B000320,naive B cell,24_60_M,male,24m
B6_B000320,naive B cell,24_60_M,male,24m
B7_B000320,naive B cell,24_60_M,male,24m
B7_B003031,naive B cell,24_60_M,male,24m
B8_B000320,naive B cell,24_60_M,male,24m
B9_B002949,naive B cell,24_59_M,male,24m
C10_B000320,naive B cell,24_60_M,male,24m
C11_B000320,naive B cell,24_60_M,male,24m
C11_B002949,naive B cell,24_59_M,male,24m
C12_B002949,naive B cell,24_59_M,male,24m
C13_B000320,naive B cell,24_60_M,male,24m
C15_B000320,naive B cell,24_60_M,male,24m
C15_B003031,naive B cell,24_60_M,male,24m
C16_B000320,naive B cell,24_60_M,male,24m
C18_B000320,naive B cell,24_60_M,male,24m
C19_B000320,naive B cell,24_60_M,male,24m
C1_B000320,naive B cell,24_60_M,male,24m
C1_B003031,naive B cell,24_60_M,male,24m
C20_B000320,naive B cell,24_60_M,male,24m
C21_B000320,naive B cell,24_60_M,male,24m
C22_B000320,naive B cell,24_60_M,male,24m
C22_B002949,naive B cell,24_59_M,male,24m
C22_B003031,naive B cell,24_60_M,male,24m
C2_B003031,naive B cell,24_60_M,male,24m
C3_B000320,naive B cell,24_60_M,male,24m
C3_B002949,naive B cell,24_59_M,male,24m
C4_B000320,naive B cell,24_60_M,male,24m
C4_B003031,naive B cell,24_60_M,male,24m
C5_B000320,naive B cell,24_60_M,male,24m
C5_B003031,naive B cell,24_60_M,male,24m
C7_B000320,naive B cell,24_60_M,male,24m
C8_B000320,naive B cell,24_60_M,male,24m
C8_B000328,naive B cell,24_60_M,male,24m
C8_B002949,naive B cell,24_59_M,male,24m
C8_B003031,naive B cell,24_60_M,male,24m
C9_B000320,naive B cell,24_60_M,male,24m
C9_B003031,naive B cell,24_60_M,male,24m
D10_B000320,naive B cell,24_60_M,male,24m
D10_B002949,naive B cell,24_59_M,male,24m
D11_B000320,naive B cell,24_60_M,male,24m
D12_B000320,naive B cell,24_60_M,male,24m
D12_B003031,naive B cell,24_60_M,male,24m
D14_B000320,naive B cell,24_60_M,male,24m
D15_B000320,naive B cell,24_60_M,male,24m
D16_B000320,naive B cell,24_60_M,male,24m
D18_B000320,naive B cell,24_60_M,male,24m
D19_B000320,naive B cell,24_60_M,male,24m
D1_B000320,naive B cell,24_60_M,male,24m
D1_B002949,naive B cell,24_59_M,male,24m
D1_B003031,naive B cell,24_60_M,male,24m
D20_B002949,naive B cell,24_59_M,male,24m
D22_B000320,naive B cell,24_60_M,male,24m
D3_B000320,naive B cell,24_60_M,male,24m
D4_B002949,naive B cell,24_59_M,male,24m
D4_B003031,naive B cell,24_60_M,male,24m
D5_B000320,naive B cell,24_60_M,male,24m
D6_B000320,naive B cell,24_60_M,male,24m
D6_B003031,naive B cell,24_60_M,male,24m
D7_B000320,naive B cell,24_60_M,male,24m
D8_B002949,naive B cell,24_59_M,male,24m
E10_B000320,naive B cell,24_60_M,male,24m
E10_B002949,naive B cell,24_59_M,male,24m
E10_B003031,naive B cell,24_60_M,male,24m
E11_B000320,naive B cell,24_60_M,male,24m
E12_B000320,naive B cell,24_60_M,male,24m
E12_B003031,naive B cell,24_60_M,male,24m
E13_B000320,naive B cell,24_60_M,male,24m
E14_B000320,naive B cell,24_60_M,male,24m
E15_B000320,naive B cell,24_60_M,male,24m
E15_B003031,naive B cell,24_60_M,male,24m
E16_B002949,naive B cell,24_59_M,male,24m
E17_B000320,naive B cell,24_60_M,male,24m
E17_B003031,naive B cell,24_60_M,male,24m
E18_B000320,naive B cell,24_60_M,male,24m
E19_B000320,naive B cell,24_60_M,male,24m
E19_B002949,naive B cell,24_59_M,male,24m
E19_B003031,naive B cell,24_60_M,male,24m
E20_B000320,naive B cell,24_60_M,male,24m
E20_B002949,naive B cell,24_59_M,male,24m
E21_B000320,naive B cell,24_60_M,male,24m
E22_B000320,naive B cell,24_60_M,male,24m
E22_B002949,naive B cell,24_59_M,male,24m
E2_B000320,naive B cell,24_60_M,male,24m
E3_B002949,naive B cell,24_59_M,male,24m
E5_B003031,naive B cell,24_60_M,male,24m
E6_B000320,naive B cell,24_60_M,male,24m
E6_B002949,naive B cell,24_59_M,male,24m
E7_B000320,naive B cell,24_60_M,male,24m
E7_B002949,naive B cell,24_59_M,male,24m
E7_B003031,naive B cell,24_60_M,male,24m
E8_B002998,naive B cell,24_60_M,male,24m
E9_B002949,naive B cell,24_59_M,male,24m
